id,name,known_name,gender,birth_date,birth_city,birth_country,death_date,death_city,death_country,prize_number,year,category,share,motivation,prize_amount,prize_amount_adjusted,sort_order
98,Ivar Giaever,Ivar Giaever,male,1929-04-05,Bergen,Norway,2025-06-20,"Schenectady, NY",USA,1,1973,Physics,,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",510000,4213275,2
633,Ivo Andrić,Ivo Andrić,male,1892-10-10,Dolac,Bosnia,1975-03-13,Belgrade,Yugoslavia,1,1961,Literature,,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,250233,3639892,1
130,J. Georg Bednorz,J. Georg Bednorz,male,1950-05-16,Neuenkirchen,West Germany,,,,1,1987,Physics,,for their important break-through in the discovery of superconductivity in ceramic materials,2175000,5405582,1
80,J. Hans D. Jensen,J. Hans D. Jensen,male,1907-06-25,Hamburg,Germany,1973-02-11,Heidelberg,West Germany,1,1963,Physics,,for their discoveries concerning nuclear shell structure,265000,3590371,3
763,John M. Coetzee,J. M. Coetzee,male,1940-02-09,Cape Town,South Africa,,,,1,2003,Literature,,who in innumerable guises portrays the surprising involvement of the outsider,10000000,14930730,1
440,J. Michael Bishop,J. Michael Bishop,male,1936-02-22,"York, PA",USA,,,,1,1989,Physiology or Medicine,,for their discovery of the cellular origin of retroviral oncogenes,3000000,6629077,1
930,J. Michael Kosterlitz,J. Michael Kosterlitz,male,1943-06-22,Aberdeen,United Kingdom,,,,1,2016,Physics,,for theoretical discoveries of topological phase transitions and topological phases of matter,8000000,10496956,3
790,J. Robin Warren,J. Robin Warren,male,1937-06-11,Adelaide,Australia,2024-07-23,Perth,Australia,1,2005,Physiology or Medicine,,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,10000000,14809494,2
10,Joseph John Thomson,J.J. Thomson,male,1856-12-18,Cheetham Hill,United Kingdom,1940-08-30,Cambridge,United Kingdom,1,1906,Physics,,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,138536,9384824,1
592,Jacinto Benavente,Jacinto Benavente,male,1866-08-12,Madrid,Spain,1954-07-14,Madrid,Spain,1,1922,Literature,,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,122483,3978181,1
728,Jack S. Kilby,Jack Kilby,male,1923-11-08,"Jefferson City, MO",USA,2005-06-20,"Dallas, TX",USA,1,2000,Physics,,for his part in the invention of the integrated circuit,9000000,14331095,3
134,Jack Steinberger,Jack Steinberger,male,1921-05-25,Bad Kissingen,Germany,2020-12-12,Geneva,Switzerland,1,1988,Physics,,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,2500000,5874628,3
837,Jack W. Szostak,Jack W. Szostak,male,1952-11-09,London,United Kingdom,,,,1,2009,Physiology or Medicine,,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,10000000,13857393,3
160,Jacobus Henricus van 't Hoff,Jacobus H. van 't Hoff,male,1852-08-30,Rotterdam,the Netherlands,1911-03-01,Berlin,Germany,1,1901,Chemistry,,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,150782,10833458,1
944,Jacques Dubochet,Jacques Dubochet,male,1942-06-08,Aigle,Switzerland,,,,1,2017,Chemistry,,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,9000000,11603589,1
382,Jacques Monod,Jacques Monod,male,1910-02-09,Paris,France,1976-05-31,Cannes,France,1,1965,Physiology or Medicine,,for their discoveries concerning genetic control of enzyme and virus synthesis,282000,3519063,3
715,James A. Mirrlees,James A. Mirrlees,male,1936-07-05,Minnigaff,Scotland,2018-08-29,Cambridge,United Kingdom,1,1996,Economic Sciences,,for their fundamental contributions to the economic theory of incentives under asymmetric information,7400000,12000958,1
1046,James A. Robinson,James A. Robinson,male,1960-00-00,,,,,,1,2024,Economic Sciences,,for studies of how institutions are formed and affect prosperity,11000000,11000000,3
204,James Batcheller Sumner,James B. Sumner,male,1887-11-19,"Canton, MA",USA,1955-08-12,"Buffalo, NY",USA,1,1946,Chemistry,,for his discovery that enzymes can be crystallized,121524,3166301,1
41,James Chadwick,James Chadwick,male,1891-10-20,Manchester,United Kingdom,1974-07-24,Cambridge,United Kingdom,1,1935,Physics,,for the discovery of the neutron,159917,6319387,1
116,James Watson Cronin,James Cronin,male,1931-09-29,"Chicago, IL",USA,2016-08-25,"St. Paul, MN",USA,1,1980,Physics,,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,880000,3654081,1
690,James E. Meade,James E. Meade,male,1907-06-23,Swanage,United Kingdom,1995-12-22,Cambridge,United Kingdom,1,1977,Economic Sciences,,for their pathbreaking contribution to the theory of international trade and international capital movements,700000,3896009,2
884,James E. Rothman,James E. Rothman,male,1950-11-03,"Haverhill, MA",USA,,,,1,2013,Physiology or Medicine,,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",8000000,10578918,1
30,James Franck,James Franck,male,1882-08-26,Hamburg,Germany,1964-05-21,Göttingen,West Germany,1,1925,Physics,,for their discovery of the laws governing the impact of an electron upon an atom,118165,4060423,1
732,James J. Heckman,James J. Heckman,male,1944-04-19,"Chicago, IL",USA,,,,1,2000,Economic Sciences,,for his development of theory and methods for analyzing selective samples,9000000,14331095,1
700,James M. Buchanan Jr.,James M. Buchanan Jr.,male,1919-10-03,"Murfreesboro, TN",USA,2013-01-09,"Blacksburg, VA",USA,1,1986,Economic Sciences,,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,2000000,5182514,1
958,James P. Allison,James P. Allison,male,1948-08-07,"Alice, TX",USA,,,,1,2018,Physiology or Medicine,,for their discovery of cancer therapy by inhibition of negative immune regulation,9000000,11380800,1
973,James Peebles,James Peebles,male,1935-04-25,Winnipeg,Canada,,,,1,2019,Physics,,for theoretical discoveries in physical cosmology,9000000,11178104,1
104,Leo James Rainwater,James Rainwater,male,1917-12-09,"Council, ID",USA,1986-05-31,"Yonkers, NY",USA,1,1975,Physics,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,4304697,3
695,James Tobin,James Tobin,male,1918-03-05,"Champaign, IL",USA,2002-03-11,"New Haven, CT",USA,1,1981,Economic Sciences,,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",1000000,3704688,1
